vin_20k,vout_20k
0.00E+00,5.00E+00
1.95E-05,5.00E+00
3.91E-05,5.00E+00
7.81E-05,5.00E+00
1.56E-04,5.00E+00
1.56E-03,5.00E+00
2.97E-03,5.00E+00
4.38E-03,5.00E+00
5.78E-03,5.00E+00
7.19E-03,5.00E+00
8.59E-03,5.00E+00
1.00E-02,5.00E+00
1.28E+00,5.00E+00
1.60E+00,4.94E+00
1.78E+00,4.76E+00
1.89E+00,4.48E+00
2.00E+00,4.04E+00
2.22E+00,2.81E+00
2.51E+00,1.07E+00
2.58E+00,7.38E-01
2.65E+00,6.14E-01
2.69E+00,5.73E-01
2.74E+00,5.35E-01
2.84E+00,4.75E-01
2.93E+00,4.30E-01
3.09E+00,3.75E-01
3.24E+00,3.34E-01
3.42E+00,2.97E-01
3.55E+00,2.74E-01
3.60E+00,2.66E-01
3.66E+00,2.59E-01
3.71E+00,2.52E-01
3.76E+00,2.46E-01
3.81E+00,2.40E-01
3.87E+00,2.35E-01
3.92E+00,2.29E-01
4.26E+00,1.99E-01
4.37E+00,1.90E-01
4.60E+00,1.76E-01
5.00E+00,1.55E-01
5.00E+00,1.55E-01
5.00E+00,1.55E-01
5.00E+00,1.55E-01
5.00E+00,1.55E-01
5.00E+00,1.55E-01
5.00E+00,1.55E-01
5.00E+00,1.55E-01
5.00E+00,1.55E-01
5.00E+00,1.55E-01
4.83E+00,1.63E-01
4.66E+00,1.73E-01
4.48E+00,1.84E-01
4.31E+00,1.97E-01
4.14E+00,2.11E-01
3.97E+00,2.26E-01
3.79E+00,2.44E-01
3.60E+00,2.67E-01
3.46E+00,2.89E-01
3.42E+00,2.96E-01
3.37E+00,3.04E-01
3.33E+00,3.13E-01
3.28E+00,3.23E-01
3.24E+00,3.33E-01
3.20E+00,3.43E-01
3.15E+00,3.55E-01
3.03E+00,3.96E-01
2.81E+00,4.98E-01
2.66E+00,6.17E-01
2.58E+00,7.29E-01
2.52E+00,9.09E-01
2.48E+00,1.15E+00
2.41E+00,1.67E+00
2.33E+00,2.18E+00
2.22E+00,2.88E+00
2.10E+00,3.58E+00
1.96E+00,4.19E+00
1.74E+00,4.72E+00
1.44E+00,4.98E+00
1.32E+00,5.00E+00
3.97E-01,5.00E+00
0.00E+00,5.00E+00
1.10E-02,5.00E+00
3.30E-02,5.00E+00
6.94E-01,5.00E+00
1.40E+00,4.98E+00
1.69E+00,4.86E+00
1.85E+00,4.59E+00
2.00E+00,4.05E+00
2.18E+00,3.11E+00
2.47E+00,1.25E+00
2.55E+00,8.07E-01
2.60E+00,6.80E-01
2.63E+00,6.34E-01
2.67E+00,5.92E-01
2.74E+00,5.37E-01
2.82E+00,4.83E-01
2.91E+00,4.38E-01
3.07E+00,3.82E-01
3.23E+00,3.35E-01
3.32E+00,3.15E-01
3.47E+00,2.87E-01
3.53E+00,2.77E-01
3.59E+00,2.68E-01
3.65E+00,2.59E-01
3.72E+00,2.51E-01
3.78E+00,2.44E-01
3.84E+00,2.37E-01
3.90E+00,2.31E-01
4.23E+00,2.01E-01
4.34E+00,1.92E-01
4.56E+00,1.78E-01
4.62E+00,1.74E-01
4.69E+00,1.70E-01
4.75E+00,1.67E-01
4.81E+00,1.64E-01
4.87E+00,1.61E-01
4.94E+00,1.57E-01
5.00E+00,1.55E-01
5.00E+00,1.55E-01
5.00E+00,1.55E-01
5.00E+00,1.55E-01
5.00E+00,1.55E-01
5.00E+00,1.55E-01
5.00E+00,1.55E-01
5.00E+00,1.55E-01
5.00E+00,1.55E-01
5.00E+00,1.55E-01
4.83E+00,1.63E-01
4.65E+00,1.73E-01
4.48E+00,1.84E-01
4.31E+00,1.97E-01
4.14E+00,2.11E-01
3.96E+00,2.27E-01
3.79E+00,2.44E-01
3.60E+00,2.68E-01
3.46E+00,2.89E-01
3.41E+00,2.98E-01
3.36E+00,3.07E-01
3.31E+00,3.18E-01
3.26E+00,3.29E-01
3.21E+00,3.41E-01
3.16E+00,3.54E-01
3.11E+00,3.68E-01
2.97E+00,4.16E-01
2.78E+00,5.20E-01
2.64E+00,6.42E-01
2.56E+00,7.69E-01
2.51E+00,9.83E-01
2.45E+00,1.38E+00
2.41E+00,1.67E+00
2.36E+00,1.98E+00
2.27E+00,2.57E+00
2.13E+00,3.39E+00
1.99E+00,4.08E+00
1.80E+00,4.67E+00
1.60E+00,4.96E+00
1.47E+00,5.00E+00
5.46E-01,5.00E+00
2.66E-15,5.00E+00
1.10E-02,5.00E+00
3.30E-02,5.00E+00
6.93E-01,5.00E+00
1.40E+00,4.99E+00
1.68E+00,4.87E+00
1.84E+00,4.59E+00
2.00E+00,4.05E+00
2.17E+00,3.14E+00
2.47E+00,1.27E+00
2.55E+00,8.21E-01
2.59E+00,6.86E-01
2.63E+00,6.38E-01
2.67E+00,5.95E-01
2.73E+00,5.42E-01
2.81E+00,4.87E-01
2.90E+00,4.43E-01
3.06E+00,3.84E-01
3.23E+00,3.35E-01
3.32E+00,3.14E-01
3.46E+00,2.89E-01
3.54E+00,2.76E-01
3.62E+00,2.64E-01
3.71E+00,2.53E-01
3.79E+00,2.43E-01
3.87E+00,2.34E-01
3.95E+00,2.26E-01
4.03E+00,2.19E-01
4.49E+00,1.85E-01
5.00E+00,1.55E-01
5.00E+00,1.55E-01
5.00E+00,1.55E-01
5.00E+00,1.55E-01
5.00E+00,1.55E-01
5.00E+00,1.55E-01
5.00E+00,1.55E-01
5.00E+00,1.55E-01
5.00E+00,1.55E-01
5.00E+00,1.55E-01
5.00E+00,1.55E-01
5.00E+00,1.55E-01
5.00E+00,1.55E-01
4.83E+00,1.63E-01
4.66E+00,1.73E-01
4.48E+00,1.84E-01
4.31E+00,1.97E-01
4.14E+00,2.11E-01
3.97E+00,2.26E-01
3.79E+00,2.44E-01
3.60E+00,2.67E-01
3.46E+00,2.89E-01
3.41E+00,2.96E-01
3.37E+00,3.05E-01
3.33E+00,3.14E-01
3.28E+00,3.23E-01
3.24E+00,3.33E-01
3.19E+00,3.44E-01
3.15E+00,3.56E-01
3.02E+00,3.99E-01
2.79E+00,5.12E-01
2.64E+00,6.41E-01
2.56E+00,7.81E-01
2.51E+00,1.01E+00
2.45E+00,1.40E+00
2.41E+00,1.69E+00
2.36E+00,2.02E+00
2.26E+00,2.64E+00
2.13E+00,3.40E+00
1.99E+00,4.08E+00
1.80E+00,4.66E+00
1.61E+00,4.95E+00
1.48E+00,5.00E+00
1.36E+00,5.00E+00
5.39E-01,5.00E+00
0.00E+00,5.00E+00
1.10E-02,5.00E+00
3.30E-02,5.00E+00
6.93E-01,5.00E+00
1.40E+00,4.99E+00
1.68E+00,4.87E+00
1.84E+00,4.59E+00
2.00E+00,4.05E+00
2.17E+00,3.13E+00
2.47E+00,1.27E+00
2.55E+00,8.19E-01
2.59E+00,6.85E-01
2.63E+00,6.37E-01
2.67E+00,5.94E-01
2.73E+00,5.42E-01
2.81E+00,4.86E-01
2.90E+00,4.42E-01
3.06E+00,3.84E-01
3.23E+00,3.35E-01
3.32E+00,3.14E-01
3.46E+00,2.88E-01
3.51E+00,2.80E-01
3.56E+00,2.72E-01
3.62E+00,2.65E-01
3.67E+00,2.58E-01
3.72E+00,2.51E-01
3.77E+00,2.45E-01
3.82E+00,2.40E-01
4.07E+00,2.16E-01
4.50E+00,1.84E-01
5.00E+00,1.55E-01
5.00E+00,1.55E-01
