time	V(in)	V(out)
0.000000000000000e+000	0.000000e+000	5.000000e+000
1.953124995068833e-009	1.953125e-005	5.000000e+000
3.906249990137667e-009	3.906250e-005	5.000002e+000
7.812499980275334e-009	7.812500e-005	5.000006e+000
1.562499996055067e-008	1.562500e-004	5.000013e+000
1.562499996055067e-007	1.562500e-003	5.000034e+000
2.968749992504628e-007	2.968750e-003	5.000049e+000
4.374999988954188e-007	4.375000e-003	5.000059e+000
5.781249985403749e-007	5.781250e-003	5.000064e+000
7.187499981853309e-007	7.187500e-003	5.000064e+000
8.593749978302870e-007	8.593750e-003	5.000059e+000
9.999999974752427e-007	1.000000e-002	5.000049e+000
1.279999996768311e-004	1.280000e+000	5.000049e+000
1.596689078951659e-004	1.596689e+000	4.942441e+000
1.776404395743915e-004	1.776404e+000	4.761652e+000
1.890368225854482e-004	1.890368e+000	4.483122e+000
2.001479237257105e-004	2.001479e+000	4.035628e+000
2.223701260062352e-004	2.223701e+000	2.812611e+000
2.506132436128640e-004	2.506132e+000	1.067574e+000
2.582322212499266e-004	2.582322e+000	7.384012e-001
2.649967534218766e-004	2.649967e+000	6.137399e-001
2.689083672429027e-004	2.689084e+000	5.729061e-001
2.737953210636661e-004	2.737953e+000	5.348503e-001
2.835692287051930e-004	2.835692e+000	4.751328e-001
2.933028641902428e-004	2.933029e+000	4.295549e-001
3.088593243657397e-004	3.088593e+000	3.750842e-001
3.241084076355943e-004	3.241084e+000	3.341871e-001
3.416270820090944e-004	3.416271e+000	2.968812e-001
3.550515199360509e-004	3.550515e+000	2.741709e-001
3.603308775334870e-004	3.603309e+000	2.664961e-001
3.656102351309232e-004	3.656102e+000	2.592484e-001
3.708895927283594e-004	3.708896e+000	2.524279e-001
3.761689503257955e-004	3.761689e+000	2.460344e-001
3.814483079232316e-004	3.814483e+000	2.400680e-001
3.867276655206678e-004	3.867277e+000	2.345287e-001
3.920070231181039e-004	3.920070e+000	2.294165e-001
4.255395346376254e-004	4.255395e+000	1.991160e-001
4.369714071059151e-004	4.369714e+000	1.904350e-001
4.598351520424947e-004	4.598351e+000	1.762905e-001
5.000000001000000e-004	5.000000e+000	1.545437e-001
5.000007491999970e-004	4.999993e+000	1.545375e-001
5.000014982999941e-004	4.999985e+000	1.545323e-001
5.000022473999911e-004	4.999978e+000	1.545279e-001
5.000029964999880e-004	4.999970e+000	1.545246e-001
5.000037455999850e-004	4.999963e+000	1.545221e-001
5.000044946999821e-004	4.999955e+000	1.545206e-001
5.000052437999791e-004	4.999948e+000	1.545200e-001
5.000104866799581e-004	4.999895e+000	1.545164e-001
5.000209724399162e-004	4.999790e+000	1.545187e-001
5.172399861394456e-004	4.827600e+000	1.628095e-001
5.344589998389749e-004	4.655410e+000	1.725808e-001
5.516780135385042e-004	4.483220e+000	1.838326e-001
5.688970272380335e-004	4.311030e+000	1.965649e-001
5.861160409375628e-004	4.138840e+000	2.107776e-001
6.033350546370921e-004	3.966649e+000	2.264709e-001
6.205540683366215e-004	3.794459e+000	2.436446e-001
6.398240155582811e-004	3.601760e+000	2.673454e-001
