t_1,v_1,t_2,v_2,t_1_20,v_1_20,t_2_20,v_2_20
-1.25E-03,3.83999991,-1.25E-03,4.00E-02,-1.25E-03,4.15999985,-1.25E-03,8.00E-02
-1.25E-03,3.83999991,-1.25E-03,4.00E-02,-1.25E-03,4.15999985,-1.25E-03,8.00E-02
-1.25E-03,3.79999995,-1.25E-03,0,-1.25E-03,4.15999985,-1.25E-03,8.00E-02
-1.25E-03,3.79999995,-1.25E-03,0,-1.25E-03,4.11999989,-1.25E-03,1.20E-01
-1.25E-03,3.79999995,-1.25E-03,0,-1.25E-03,4.11999989,-1.25E-03,8.00E-02
-1.25E-03,3.79999995,-1.25E-03,4.00E-02,-1.25E-03,4.11999989,-1.25E-03,8.00E-02
-1.24E-03,3.79999995,-1.24E-03,4.00E-02,-1.24E-03,4.11999989,-1.24E-03,8.00E-02
-1.24E-03,3.75999999,-1.24E-03,4.00E-02,-1.24E-03,4.07999992,-1.24E-03,8.00E-02
-1.24E-03,3.75999999,-1.24E-03,4.00E-02,-1.24E-03,4.07999992,-1.24E-03,8.00E-02
-1.24E-03,3.75999999,-1.24E-03,0,-1.24E-03,4.07999992,-1.24E-03,8.00E-02
-1.24E-03,3.75999999,-1.24E-03,4.00E-02,-1.24E-03,4.07999992,-1.24E-03,8.00E-02
-1.24E-03,3.72000003,-1.24E-03,4.00E-02,-1.24E-03,4.07999992,-1.24E-03,8.00E-02
-1.24E-03,3.72000003,-1.24E-03,4.00E-02,-1.24E-03,4.03999996,-1.24E-03,1.20E-01
-1.24E-03,3.72000003,-1.24E-03,4.00E-02,-1.24E-03,4.03999996,-1.24E-03,8.00E-02
-1.24E-03,3.67999983,-1.24E-03,0,-1.24E-03,4.03999996,-1.24E-03,8.00E-02
-1.24E-03,3.67999983,-1.24E-03,4.00E-02,-1.24E-03,4,-1.24E-03,8.00E-02
-1.23E-03,3.67999983,-1.23E-03,4.00E-02,-1.23E-03,4,-1.23E-03,8.00E-02
-1.23E-03,3.67999983,-1.23E-03,4.00E-02,-1.23E-03,4,-1.23E-03,8.00E-02
-1.23E-03,3.67999983,-1.23E-03,4.00E-02,-1.23E-03,4,-1.23E-03,8.00E-02
-1.23E-03,3.67999983,-1.23E-03,0,-1.23E-03,4,-1.23E-03,8.00E-02
-1.23E-03,3.63999987,-1.23E-03,4.00E-02,-1.23E-03,4,-1.23E-03,1.20E-01
-1.23E-03,3.63999987,-1.23E-03,4.00E-02,-1.23E-03,3.9599998,-1.23E-03,8.00E-02
-1.23E-03,3.63999987,-1.23E-03,4.00E-02,-1.23E-03,3.9599998,-1.23E-03,1.20E-01
-1.23E-03,3.5999999,-1.23E-03,4.00E-02,-1.23E-03,3.91999984,-1.23E-03,8.00E-02
-1.23E-03,3.5999999,-1.23E-03,4.00E-02,-1.23E-03,3.91999984,-1.23E-03,8.00E-02
-1.23E-03,3.5999999,-1.23E-03,4.00E-02,-1.23E-03,3.91999984,-1.23E-03,8.00E-02
-1.22E-03,3.55999994,-1.22E-03,4.00E-02,-1.22E-03,3.91999984,-1.22E-03,8.00E-02
-1.22E-03,3.5999999,-1.22E-03,0,-1.22E-03,3.91999984,-1.22E-03,1.20E-01
-1.22E-03,3.55999994,-1.22E-03,4.00E-02,-1.22E-03,3.87999988,-1.22E-03,8.00E-02
-1.22E-03,3.55999994,-1.22E-03,4.00E-02,-1.22E-03,3.87999988,-1.22E-03,8.00E-02
-1.22E-03,3.51999998,-1.22E-03,4.00E-02,-1.22E-03,3.87999988,-1.22E-03,8.00E-02
-1.22E-03,3.51999998,-1.22E-03,4.00E-02,-1.22E-03,3.87999988,-1.22E-03,8.00E-02
-1.22E-03,3.51999998,-1.22E-03,4.00E-02,-1.22E-03,3.87999988,-1.22E-03,8.00E-02
-1.22E-03,3.51999998,-1.22E-03,4.00E-02,-1.22E-03,3.83999991,-1.22E-03,1.20E-01
