t_in_100,v_in_100,t_out_100,v_out_100,t_in_20,v_in_20,t_out_20,v_out_20
-1.25E-03,3.24000001,-1.25E-03,0,-1.25E-03,3.48000002,-1.25E-03,1.20E-01
-1.25E-03,3.19999981,-1.25E-03,4.00E-02,-1.25E-03,3.48000002,-1.25E-03,8.00E-02
-1.25E-03,3.24000001,-1.25E-03,4.00E-02,-1.25E-03,3.48000002,-1.25E-03,8.00E-02
-1.25E-03,3.19999981,-1.25E-03,0,-1.25E-03,3.48000002,-1.25E-03,8.00E-02
-1.25E-03,3.19999981,-1.25E-03,4.00E-02,-1.25E-03,3.43999982,-1.25E-03,8.00E-02
-1.25E-03,3.15999985,-1.25E-03,4.00E-02,-1.25E-03,3.43999982,-1.25E-03,8.00E-02
-1.24E-03,3.19999981,-1.24E-03,4.00E-02,-1.24E-03,3.48000002,-1.24E-03,8.00E-02
-1.24E-03,3.15999985,-1.24E-03,4.00E-02,-1.24E-03,3.43999982,-1.24E-03,8.00E-02
-1.24E-03,3.15999985,-1.24E-03,4.00E-02,-1.24E-03,3.43999982,-1.24E-03,8.00E-02
-1.24E-03,3.15999985,-1.24E-03,4.00E-02,-1.24E-03,3.39999986,-1.24E-03,8.00E-02
-1.24E-03,3.15999985,-1.24E-03,4.00E-02,-1.24E-03,3.39999986,-1.24E-03,8.00E-02
-1.24E-03,3.11999989,-1.24E-03,4.00E-02,-1.24E-03,3.39999986,-1.24E-03,1.20E-01
-1.24E-03,3.11999989,-1.24E-03,4.00E-02,-1.24E-03,3.43999982,-1.24E-03,1.20E-01
-1.24E-03,3.11999989,-1.24E-03,4.00E-02,-1.24E-03,3.39999986,-1.24E-03,8.00E-02
-1.24E-03,3.11999989,-1.24E-03,4.00E-02,-1.24E-03,3.39999986,-1.24E-03,8.00E-02
-1.24E-03,3.11999989,-1.24E-03,4.00E-02,-1.24E-03,3.3599999,-1.24E-03,8.00E-02
-1.23E-03,3.11999989,-1.23E-03,4.00E-02,-1.23E-03,3.3599999,-1.23E-03,8.00E-02
-1.23E-03,3.11999989,-1.23E-03,4.00E-02,-1.23E-03,3.3599999,-1.23E-03,8.00E-02
-1.23E-03,3.07999992,-1.23E-03,4.00E-02,-1.23E-03,3.3599999,-1.23E-03,8.00E-02
-1.23E-03,3.07999992,-1.23E-03,0,-1.23E-03,3.3599999,-1.23E-03,8.00E-02
-1.23E-03,3.07999992,-1.23E-03,4.00E-02,-1.23E-03,3.31999993,-1.23E-03,8.00E-02
-1.23E-03,3.07999992,-1.23E-03,4.00E-02,-1.23E-03,3.31999993,-1.23E-03,8.00E-02
-1.23E-03,3.07999992,-1.23E-03,4.00E-02,-1.23E-03,3.31999993,-1.23E-03,1.20E-01
-1.23E-03,3.03999996,-1.23E-03,4.00E-02,-1.23E-03,3.31999993,-1.23E-03,8.00E-02
-1.23E-03,3.03999996,-1.23E-03,4.00E-02,-1.23E-03,3.31999993,-1.23E-03,8.00E-02
